birthday,TA,howmany,anyties,chances,birthday_num
12/13,Tim's,30.0,No,Less than 10%,347
05/31,Tim's,25.0,No,Less than 10%,151
03/14,Tim's,30.0,No,Less than 10%,73
07/10,Tim's,20.0,No,Less than 10%,191
10/10,Tim's,20.0,No,Less than 1%,283
01/13,Tim's,25.0,No,Less than 10%,13
02/10,Tim's,30.0,No,More than 50%,41
04/19,Tim's,30.0,No,Less than 1%,109
02/03,Tim's,30.0,No,More than 50%,34
06/06,Tim's,25.0,No,More than 50%,157
01/12,Tim's,30.0,No,More than 10%,12
05/23,Tim's,25.0,No,Less than 10%,143
04/22,Tim's,35.0,No,Less than 10%,112
12/09,Tim's,26.0,No,Less than 1%,343
12/28,Tim's,30.0,Yes,More than 50%,362
12/20,Tim's,40.0,No,Less than 10%,354
05/02,Tim's,33.0,No,Less than 10%,122
08/26,Tim's,25.0,No,Less than 1%,238
02/14,Tim's,35.0,Yes,Less than 10%,45
09/13,Tim's,30.0,No,Less than 10%,256
09/09,Tim's,30.0,No,Less than 10%,252
02/24,Tim's,20.0,No,Less than 10%,55
04/29,Tim's,30.0,No,Less than 1%,119
06/20,Tim's,35.0,No,More than 10%,171
09/11,Tim's,40.0,No,Less than 10%,254
11/21,Tim's,35.0,Yes,More than 10%,325
12/06,Tim's,,No,More than 10%,340
07/21,Tim's,35.0,Yes,Less than 10%,202
7/17,Tim's,25.0,No,Less than 10%,198
01/10,Tim's,30.0,No,Less than 10%,10
08/18,Tim's,35.0,Yes,Less than 1%,230
12/20,Tim's,35.0,Yes,Less than 1%,354
3/21,Tim's,32.0,No,Less than 10%,80
06/13/2006,Tim's,30.0,No,Less than 10%,164
02/04,Tim's,33.0,No,Less than 1%,35
02/09,Tim's,40.0,Yes,More than 10%,40
08/17,Tim's,30.0,No,Less than 1%,229
09/14,Alessandro's,11.0,No,Less than 10%,257
11/14,Alessandro's,12.0,No,Less than 1%,318
07/05,Alessandro's,12.0,No,Less than 1%,186
01/14,Alessandro's,13.0,No,Less than 10%,14
12/22,Alessandro's,20.0,No,More than 10%,356
08/11,Alessandro's,14.0,No,More than 10%,223
01/01,Tim's,14.0,No,Less than 1%,1
07/22,Alessandro's,15.0,No,Less than 10%,203
11/20,Alessandro's,14.0,No,Less than 1%,324
01/12,Alessandro's,14.0,No,Less than 10%,12
01/25,Alessandro's,14.0,No,Less than 10%,25
02/17,Alessandro's,20.0,No,More than 10%,48
03/06,Alessandro's,20.0,No,Less than 1%,65
07/10,Tim's,20.0,No,Less than 10%,191
09/22,Alessandro's,20.0,No,Less than 10%,265
04/27,Alessandro's,20.0,No,Less than 1%,117
07/11,Alessandro's,20.0,No,Less than 1%,192
10/14,Alessandro's,20.0,No,Less than 1%,287
05/17,Alessandro's,20.0,Yes,More than 10%,137
06/14,Alessandro's,20.0,Yes,More than 10%,165
07/26,Alessandro's,25.0,No,Less than 1%,207
05/17,Tim's,33.0,No,Less than 10%,137
05/12,Tim's,32.0,No,Less than 10%,132
02/05,Tim's,34.0,No,Less than 1%,36
05/10,Cherith's,8.0,No,Less than 10%,130
06/01,Cherith's,10.0,No,Less than 10%,152
09/29,Cherith's,10.0,No,Less than 10%,272
07/16,Cherith's,12.0,No,Less than 1%,197
01/30,Cherith's,8.0,No,Less than 10%,30
03/28,Cherith's,11.0,No,Less than 1%,87
06/05,Cherith's,10.0,No,Less than 10%,156
07/06,Cherith's,10.0,No,Less than 10%,187
07/04,Qizhong's,15.0,No,Less than 1%,185
03/07,Qizhong's,20.0,Yes,More than 10%,66
04/09,Qizhong's,20.0,No,Less than 10%,99
05/06,Qizhong's,20.0,No,Less than 10%,126
02/02/1980,Qizhong's,20.0,No,Less than 1%,33
03/20,Qizhong's,20.0,No,Less than 10%,79
02/08,Qizhong's,20.0,No,Less than 1%,39
05/01,Qizhong's,20.0,No,Less than 10%,121
01/08,Qizhong's,20.0,No,Less than 1%,8
04/27,Qizhong's,19.0,Yes,Less than 10%,117
10/30,Qizhong's,20.0,No,Less than 1%,303
11/06,Qizhong's,20.0,No,Less than 1%,310
01/21,Qizhong's,15.0,No,Less than 1%,21
07/04,Qizhong's,,No,Less than 1%,185
04/14,Qizhong's,25.0,No,Less than 1%,104
11/23,Qizhong's,20.0,No,Less than 10%,327
03/11,Qizhong's,22.0,No,Less than 10%,70
05/02,Qizhong's,21.0,No,Less than 1%,122
12/29,Qizhong's,18.0,No,Less than 1%,363
04/23,Qizhong's,20.0,No,Less than 10%,113
11/07,Qizhong's,18.0,No,More than 10%,311
02/05,Qizhong's,15.0,No,Less than 10%,36
05/17,Qizhong's,20.0,No,Less than 10%,137
01/11,Qizhong's,25.0,No,Less than 1%,11
09/15,Qizhong's,20.0,Yes,Less than 1%,258
4/23,Qizhong's,20.0,No,More than 10%,113
