,team_name,value
0,Row 1,14
1,Row 1, 19
2,Row 1, 14
3,Row 1, 14
4,Row 1, 16
5,Row 1, 10
6,Row 1, 19
7,Row 1, 14
8,Row 1, 8
9,Row 1, 16
10,Row 1, 10
11,Row 1, 10
12,Row 1, 13
13,Row 1, 13
14,Row 1, 19
15,Row 1, 17
16,Row 1, 16
17,Row 1, 13
18,Row 1, 14
19,Row 1, 15
20,Row 1, 14
21,Row 1, 14
22,Three Amigos,11
23,Three Amigos,16
24,Three Amigos,16
25,Three Amigos,16
26,Three Amigos,19
27,Three Amigos,12
28,Three Amigos,13
29,Three Amigos,14
30,Three Amigos,11
31,Three Amigos,14
32,Three Amigos,18
33,Three Amigos,14
34,Three Amigos,17
35,Three Amigos,9
36,Three Amigos,9
37,Three Amigos,13
38,Three Amigos,17
39,group 3 ,14
40,group 3 , 13
41,group 3 , 9
42,group 3 , 11
43,group 3 , 13
44,group 3 , 6
45,group 3 , 17
46,group 3 , 10
47,group 3 , 15
48,group 3 , 15
49,group 3 , 12
50,group 3 , 19
51,group 3 , 19
52,group 3 , 9
53,group 3 , 20
54,group 3 , 12
55,group 3 , 11
56,group 3 , 15
57,group 3 , 14
58,group 3 , 15
59,group 3 , 19
60,group 3 , 12
61,group 3 , 16
62,group 3 , 9
63,Team Dice,20
64,Team Dice, 12
65,Team Dice, 10
66,Team Dice, 15
67,Team Dice, 14
68,Team Dice, 15
69,Team Dice, 19
70,Team Dice, 12
71,Team Dice, 16
72,Team Dice, 9
73,Team Dice, 14
74,Team Dice, 13
75,Team Dice, 9
76,Team Dice, 11
77,Team Dice, 13
78,Team Dice, 6
79,Team Dice, 17
80,Team Dice, 10
81,Team Dice, 15
82,Team Dice, 15
83,Team Dice, 12
84,Team Dice, 19
85,Team Dice, 19
86,Team Dice, 9
87,4,15
88,4, 9
89,4, 16
90,4, 16
91,4, 11
92,4, 11
93,4, 12
94,4, 14
95,4, 20
96,4, 12 
97,4, 11 
98,4, 12 
99,4, 12 
100,4, 12 
101,4,13
102,Group 105,15
103,Group 105, 16
104,Group 105, 4
105,Group 105, 17
106,Group 105, 10
107,Group 105, 16
108,Group 105, 19
109,Group 105, 17
110,Group 105, 15
111,Group 105, 20
112,Group 105, 16
113,Group 105, 20
114,Group 105, 13
115,Group 105, 13
116,Group 105, 15
117,Group 105, 18
118,Group 105, 13
119,Group 105, 8
120,Group 105, 14
121,Group 105, 6
122,Team Jimmy,11
123,Team Jimmy, 17
124,Team Jimmy, 13
125,Team Jimmy, 13
126,Team Jimmy, 16
127,Team Jimmy, 14
128,Team Jimmy, 11
129,Team Jimmy, 15
130,Team Jimmy, 14
131,Team Jimmy, 12
132,Team Jimmy, 7
